INFO:Train: Start training Gaussian_PnP_ADMM_2iters_MultiEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 20 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [7: 375/1125]  train_loss=7.833  val_loss=11.05
INFO:Train: [7: 400/1125]  train_loss=6.739  val_loss=11.05
INFO:Train: [7: 425/1125]  train_loss=6.404  val_loss=11.05
INFO:Train: [7: 450/1125]  train_loss=7.646  val_loss=11.05
INFO:Train: [7: 475/1125]  train_loss=7.001  val_loss=11.14
INFO:Train: [7: 500/1125]  train_loss=6.702  val_loss=11.15
INFO:Train: [7: 525/1125]  train_loss=7.994  val_loss=11.15
INFO:Train: [7: 550/1125]  train_loss=2.374  val_loss=11.15
INFO:Train: [7: 575/1125]  train_loss=5.29  val_loss=11.15
INFO:Train: [7: 600/1125]  train_loss=4.96  val_loss=11.15
INFO:Train: [7: 625/1125]  train_loss=8.683  val_loss=11.15
INFO:Train: [7: 650/1125]  train_loss=9.66  val_loss=11.15
INFO:Train: [7: 675/1125]  train_loss=16.11  val_loss=11.15
INFO:Train: [7: 700/1125]  train_loss=16.12  val_loss=11.15
INFO:Train: [7: 725/1125]  train_loss=28.85  val_loss=11.15
INFO:Train: [7: 750/1125]  train_loss=11.45  val_loss=11.15
INFO:Train: [7: 775/1125]  train_loss=11.06  val_loss=11.15
INFO:Train: [7: 800/1125]  train_loss=10.69  val_loss=11.15
INFO:Train: [7: 825/1125]  train_loss=6.948  val_loss=11.15
INFO:Train: [7: 850/1125]  train_loss=5.728  val_loss=11.15
INFO:Train: [7: 875/1125]  train_loss=6.994  val_loss=11.15
INFO:Train: [7: 900/1125]  train_loss=5.76  val_loss=11.15
INFO:Train: [7: 925/1125]  train_loss=5.595  val_loss=11.15
INFO:Train: [7: 950/1125]  train_loss=3.484  val_loss=11.15
INFO:Train: [7: 975/1125]  train_loss=13.26  val_loss=11.15
INFO:Train: [7: 1000/1125]  train_loss=9.609  val_loss=11.15
INFO:Train: [7: 1025/1125]  train_loss=7.943  val_loss=11.15
INFO:Train: [7: 1050/1125]  train_loss=15.05  val_loss=11.15
INFO:Train: [7: 1075/1125]  train_loss=5.848  val_loss=11.15
INFO:Train: [7: 1100/1125]  train_loss=8.19  val_loss=11.15
INFO:Train: [7: 1125/1125]  train_loss=3.704  val_loss=11.15
INFO:Train: [7: 1125/1125]  train_loss=5.867e+04  val_loss=11.15
INFO:Train: [8: 25/1125]  train_loss=7.874  val_loss=11.15
INFO:Train: [8: 50/1125]  train_loss=10.5  val_loss=11.15
INFO:Train: [8: 75/1125]  train_loss=6.722  val_loss=11.15
INFO:Train: [8: 100/1125]  train_loss=7.239  val_loss=11.15
INFO:Train: [8: 125/1125]  train_loss=6.578  val_loss=11.15
INFO:Train: [8: 150/1125]  train_loss=13.64  val_loss=11.15
INFO:Train: [8: 175/1125]  train_loss=3.086  val_loss=11.15
INFO:Train: [8: 200/1125]  train_loss=7.195  val_loss=11.15
INFO:Train: [8: 225/1125]  train_loss=6.932  val_loss=11.15
INFO:Train: [8: 250/1125]  train_loss=8.207  val_loss=11.15
INFO:Train: [8: 275/1125]  train_loss=2.962  val_loss=11.15
INFO:Train: [8: 300/1125]  train_loss=3.751  val_loss=11.15
INFO:Train: [8: 325/1125]  train_loss=4.167  val_loss=11.15
INFO:Train: [8: 350/1125]  train_loss=7.196  val_loss=11.15
INFO:Train: [8: 375/1125]  train_loss=2.986  val_loss=11.15
INFO:Train: [8: 400/1125]  train_loss=16.47  val_loss=11.15
INFO:Train: [8: 425/1125]  train_loss=3.783  val_loss=11.15
INFO:Train: [8: 450/1125]  train_loss=4.084  val_loss=11.15
INFO:Train: [8: 475/1125]  train_loss=9.154  val_loss=11.15
INFO:Train: [8: 500/1125]  train_loss=6.131  val_loss=11.15
INFO:Train: [8: 525/1125]  train_loss=10.68  val_loss=11.15
INFO:Train: [8: 550/1125]  train_loss=7.243  val_loss=11.15
